,,,,,,,,,,
Rk.,Pitcher,Team,Throws,Fourseam,Sinker,Cutter,Splitter,Change,Slider,Curve
344,"Stout, Eric",PIT,L,90.1,,,,96.7,,84.4
345,"Hendricks, Kyle",CHC,R,90.1,82.3,,,83.4,,83.5
346,"Woodruff, Brandon",MIL,R,90,92.2,,,92.3,25.2,48
347,"Loáisiga, Jonathan",NYY,R,90,89.3,,,95.8,,36.9
348,"Cruz, Fernando",CIN,R,89.9,,,40.2,,33.5,
349,"Martinez, Nick",SD,R,89.9,90.2,38.6,,88.4,,78.6
350,"Green, Chad",NYY,R,89.9,,,,,,37
351,"Vieaux, Cam",PIT,L,89.9,,,,84.9,61.7,
352,"Sanmartin, Reiver",CIN,L,89.8,90.8,,,89.1,23.9,
353,"Frías, Luis",AZ,R,89.8,,,,79.2,48.7,
354,"Knight, Dusten",TB,R,89.8,,51.7,,76.9,,66.5
355,"Garcia, Luis",HOU,R,89.7,,35.9,,99.2,49.1,62.6
356,"Lynch, Daniel",KC,L,89.7,87.5,,,99.1,14.7,
357,"Minter, A.J.",ATL,L,89.7,,28.8,,91.8,,
358,"Alvarado, José",PHI,L,89.6,95.1,37,,,,40.9
359,"Eflin, Zach",PHI,R,89.6,86.2,59,,95.9,38.1,67.6
360,"Minaya, Juan",MIN,R,89.6,,,,83.6,24.5,
361,"Assad, Javier",CHC,R,89.5,89.7,50.5,,93.7,42.9,74.1
362,"Megill, Tylor",NYM,R,89.5,,25.9,,96.6,32.6,67.6
363,"Morejon, Adrian",SD,L,89.5,,,,97.9,33.9,73.4
364,"Patiño, Luis",TB,R,89.5,86.5,,,95.8,42.1,
365,"Rucker, Michael",CHC,R,89.5,,23.7,,90.1,28.2,75.9
366,"Law, Derek",CIN,R,89.4,85.9,42.9,,96.7,29.3,63.2
367,"Mantiply, Joe",AZ,L,89.4,92,,,98.8,,36.2
368,"Lamet, Dinelson",COL,R,89.4,,,,,19.4,
369,"Brash, Matt",SEA,R,89.4,,,,,50.8,
370,"Iglesias, Raisel",ATL,R,89.3,91.8,,,88.9,28.2,
371,"Neris, Hector",HOU,R,89.3,90.3,,76.1,,36.1,
372,"Bazardo, Eduard",BOS,R,89.3,87.5,,68.5,,58.6,
373,"Taillon, Jameson",NYY,R,89.3,90.1,58,,99,32.2,65.5
374,"Jiménez, Dany",OAK,R,89.3,,,,,21.3,
375,"Voth, Austin",BAL,R,89.3,,49,,72.9,,78.1
376,"Castillo, Diego",SEA,R,89.3,85.6,,,,19.5,
377,"Smith, Drew",NYM,R,89.2,,,,99.6,40,73.1
378,"Lyles, Jordan",BAL,R,89.2,83.3,30.9,,97.7,,83.3
379,"Wheeler, Zack",PHI,R,89.2,92.4,,,96.4,40.4,62.7
380,"Kinley, Tyler",COL,R,89.1,,,,,32.2,
381,"Nardi, Andrew",MIA,L,89.1,,,,96.2,29.4,
382,"Rogers, Trevor",MIA,L,89.1,,,,94.2,24,
383,"Baker, Bryan",BAL,R,89.1,,,,87.3,43.4,
384,"Graterol, Brusdar",LAD,R,89,91,51.4,,,31.4,
